target,role,tier,stat,mlbam_id,name,age,prior_pa,target_pa,pred,actual,q10,q90
2021,P,tier2,fip,542947,Richard Bleier,34.0,66.0,221.0,4.249952719118012,2.909178814323919,3.8339495765334806,4.648354518888212
2021,P,tier2,fip,657031,Josh Taylor,28.0,36.0,206.0,4.030504134461615,2.6950481174346015,3.2810518313884227,4.795729992790254
2021,P,tier2,fip,656629,Michael Kopech,25.0,0.0,284.0,4.302052124170749,2.9743313342178177,3.2629117309323585,5.298267467185789
2021,P,tier2,fip,571578,Patrick Corbin,31.0,294.0,738.0,4.108543952526035,5.421465389482941,3.6500976104055276,4.565336320603081
2021,P,tier3,fip,429722,Ervin Santana,38.0,0.0,276.0,7.75447636157255,4.474625682726453,6.217885901910156,9.439552354521668
2021,P,tier3,fip,502171,Alex Cobb,33.0,226.0,392.0,5.931733091643549,2.973095070481554,5.140174383412764,6.7574587917429865
2021,P,tier3,fip,665152,Dean Kremer,25.0,83.0,245.0,4.396099353157248,7.039399418307641,3.492307578133481,5.2985668175329765
2021,P,tier3,fip,502706,Derek Holland,34.0,179.0,224.0,6.289936097777946,3.9443558566752266,5.416960407933095,7.2075969436906355
2021,P,tier3,fip,518886,Craig Kimbrel,33.0,68.0,234.0,4.710209740056908,2.4318141447034214,3.752198164109811,5.735912071420476
2021,P,tier3,fip,675916,James Karinchak,25.0,107.0,235.0,2.1928661050372082,4.3580778587775955,1.401058353618233,2.999454455233501
2021,P,tier3,fip,500610,Deolis Guerra,32.0,36.0,268.0,6.150337489447526,4.011401814498958,4.873121943637188,7.587871257539116
2021,P,tier3,fip,661403,Emmanuel Clase,23.0,0.0,275.0,4.0297339916208905,2.028136082101513,3.1989058287586887,4.923408437883799
2021,P,tier3,fip,543521,Collin McHugh,34.0,0.0,244.0,4.0547033575604114,2.0788986419101256,3.3432891558024767,4.770305661991832
2021,P,tier3,fip,605242,Michael Fulmer,28.0,135.0,295.0,5.393622653607761,3.4204805797091686,4.684605101437511,6.220383182254077
2021,P,tier3,fip,656302,Dylan Cease,25.0,253.0,707.0,5.382702820157729,3.454936116759221,4.742910642593507,6.063601215873618
